Var1,Var2,Var3,Var4,Var5,Var6,Var7,Var8,Var9,Var10
384.169017809166,820.302842114714,165.073926443429,978.15350268895,714.23975347961,460.688025435734,350.221583981032,703.53980445706,43.523528453068,588.434340594717
382.032198379612,819.853370796173,164.184082769665,977.770269979803,716.912432209917,461.375437705659,350.652169838152,703.159124342838,42.7252302918466,588.376822099541
381.628271226969,821.552765330007,165.243059208396,978.7127652817,715.074408075593,458.51536697658,349.332445650446,705.495058568291,43.515485436845,589.611058158661
385.006172112404,822.406906052991,165.601980759547,977.017932011236,716.220726248519,460.326892844592,349.588352187448,703.107327368985,42.4047523513629,588.771666737705
381.369791925512,824.090688787715,164.276552671375,979.053638143559,715.610981274716,459.183547655327,349.422994202735,703.652340284272,40.783432563395,587.934485075551
383.665752669066,822.270653714659,163.607076107967,974.362961913333,715.998062926065,458.160847522427,350.011197384771,701.339041816086,43.0405609777622,588.982445157783
382.56220384208,822.512459494122,165.510350961618,978.504568913941,716.025484444052,461.310920203936,351.388470933729,700.80522341441,43.5872797514835,589.372451528979
383.289451645718,822.677794271406,163.27102698933,977.457286553477,715.451442958574,460.587830993496,349.326487976619,703.126063771177,41.6400145779747,587.67189007117
384.616081147071,821.628157175047,163.363215693841,975.809689833331,715.22243979358,459.190153999881,350.49374305706,700.69599720092,42.1929476400275,589.261152471765
381.263303697317,824.041624717428,161.448201987291,976.080662004347,713.240324386658,457.215202868063,349.551269498289,703.398931119868,42.5046963073305,589.64306279063
383.664484648292,821.608925084623,162.536753520667,975.257022763147,716.555594252851,459.529942284165,349.143905750434,702.164218101848,41.975556356669,588.030964069313
383.444560992794,822.766506068429,163.145995804655,976.093335316588,714.355222484113,457.979926087232,350.437752750495,704.691165473203,44.1971410042475,588.915224386466
384.548258374831,822.709418217132,162.405017476307,975.495431070688,712.801282273472,459.107787517959,348.205904245303,703.240040533498,43.5996043784904,588.74139346693
382.506988471513,822.808861861341,163.304651701176,976.069744972009,715.58624927803,459.908193464019,347.326981551946,703.067004369356,42.4538249038084,588.341116811261
382.758618757016,822.184286039643,161.78987012169,974.971698410413,714.634566059466,458.039397510504,349.800165424167,702.545962216013,42.7607858328645,587.952366822812
385.522812549079,821.152922536805,164.201405124667,975.834602742691,716.315972523409,460.807277962697,349.666052032955,701.2407014112,43.3228257026598,588.292411819525
383.694780839553,822.420159091647,163.146655468534,975.550362225033,712.735879292629,458.598598852183,349.63096755468,701.339615105005,43.9322358588203,588.235294398635
384.879339097069,822.249224963917,164.262063811394,976.014350103135,714.626969332141,459.853905096428,349.723982414249,702.586531516452,44.4256711111108,591.122219667367
384.680465711093,823.299639742965,162.529884164981,975.209554157544,715.05447434127,459.162970891733,351.911851293592,702.446370561248,42.6895609679531,589.920155060953
382.685286665064,824.114413800173,163.572646935629,975.880647613285,714.451325716882,458.491874617249,348.574381677371,702.294368752546,42.5712505470291,590.331072056563
